,gross_domestic_product,unemployment_rate,inflation_rate,interest_rate,consumer_price_index,producer_price_index,balance_of_trade,industrial_production_index,consumer_confidence_index
1913-07-06,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-07,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-08,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-09,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-10,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-11,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-12,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-13,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-14,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-15,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-16,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-17,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-18,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-19,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-20,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-21,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-22,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-23,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-24,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-25,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-26,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-27,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-28,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-29,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-30,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-07-31,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-01,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-02,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-03,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-04,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-05,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-06,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-07,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-08,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-09,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-10,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-11,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-12,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-13,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-14,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
